Crime_ID,Date,Time,Crime_Type,Location,Latitude,Longitude,Day_of_Week,Weather_Condition,Temperature,Offender_Age,Offender_Gender,Victim_Age,Victim_Gender,Crime_Outcome
59,10-12-2023,23:15,Drug Offense,Highway,39.010523,-97.128912,Sunday,Rainy,24.6,59,Male,35,Male,Under Investigation
60,03-10-2023,18:31,Homicide,Mall,35.780221,-84.181102,Tuesday,Snowy,17.9,53,Female,27,Male,Arrested
61,16-05-2023,07:07,Burglary,Industrial Zone,37.829974,-100.299238,Tuesday,Snowy,22.8,16,Male,26,Male,Unsolved
62,27-07-2023,00:24,Robbery,Downtown,36.572851,-111.609334,Thursday,Rainy,8.6,28,Male,62,Female,Unsolved
63,22-02-2023,07:11,Drug Offense,Industrial Zone,39.182451,-76.432459,Wednesday,Cloudy,25.9,31,Female,53,Male,Arrested
64,09-04-2023,10:15,Vandalism,Suburb,38.353446,-88.227755,Sunday,Cloudy,21.7,41,Male,17,Male,Arrested
65,18-08-2022,22:12,Assault,Park,38.731101,-79.258364,Thursday,Foggy,6.1,59,Male,75,Female,Arrested
66,04-06-2023,00:20,Burglary,Park,34.937666,-115.904127,Sunday,Cloudy,24.1,28,Male,35,Male,Arrested
67,23-02-2022,16:53,Theft,Suburb,36.90606,-97.066896,Wednesday,Snowy,7.3,38,Female,47,Male,Under Investigation
68,29-07-2023,13:58,Homicide,Highway,38.706492,-113.082288,Saturday,Cloudy,19.1,50,Female,28,Male,Under Investigation
69,02-03-2022,23:39,Vandalism,Suburb,38.567075,-102.963172,Wednesday,Foggy,19.5,37,Female,36,Female,Unsolved
70,03-12-2022,23:42,Burglary,Mall,37.258349,-98.167554,Saturday,Foggy,26.3,57,Male,70,Male,Arrested
71,17-05-2022,13:33,Vandalism,Downtown,37.491756,-114.209433,Tuesday,Cloudy,20.1,22,Male,57,Male,Under Investigation
72,22-05-2023,07:16,Drug Offense,Downtown,35.602528,-96.384063,Monday,Clear,12.6,50,Male,12,Female,Under Investigation
73,14-11-2022,11:05,Robbery,Residential Area,35.29722,-88.062277,Monday,Foggy,9.8,32,Male,13,Female,Unsolved
74,12-03-2023,04:46,Assault,Industrial Zone,36.985589,-106.87691,Sunday,Rainy,3.5,57,Male,44,Male,Unsolved
75,20-11-2023,15:04,Theft,Industrial Zone,34.150979,-92.966557,Monday,Rainy,-3,52,Female,49,Female,Unsolved
76,18-11-2023,16:07,Theft,Suburb,34.519117,-115.325821,Saturday,Snowy,19.1,34,Male,27,Male,Under Investigation
77,05-08-2022,05:16,Burglary,Park,34.838169,-81.694244,Friday,Snowy,19.8,30,Male,41,Male,Unsolved
78,19-06-2023,06:06,Burglary,Downtown,39.835816,-84.626947,Monday,Cloudy,31.8,20,Male,80,Female,Arrested
79,28-06-2023,13:45,Drug Offense,Suburb,35.423484,-83.827351,Wednesday,Snowy,26.9,47,Male,35,Male,Under Investigation
80,05-01-2023,19:05,Homicide,Highway,35.281002,-84.082279,Thursday,Clear,9.5,34,Male,32,Male,Arrested
81,11-01-2022,06:47,Robbery,Mall,39.931386,-101.212259,Tuesday,Cloudy,34,28,Male,22,Female,Arrested
82,14-01-2023,16:58,Robbery,Residential Area,34.8006,-89.453516,Saturday,Cloudy,16.7,16,Male,29,Male,Arrested
83,18-03-2022,01:13,Drug Offense,Residential Area,36.389096,-76.065205,Friday,Foggy,13.4,33,Male,11,Male,Unsolved
84,31-05-2022,05:17,Robbery,Suburb,35.190205,-108.461496,Tuesday,Snowy,34.5,22,Female,78,Male,Under Investigation
85,23-08-2023,02:25,Theft,Highway,35.746408,-89.557384,Wednesday,Rainy,0.3,32,Male,49,Female,Under Investigation
86,04-10-2023,20:42,Vandalism,Mall,34.27514,-94.081812,Wednesday,Clear,17.8,40,Female,37,Female,Under Investigation
87,19-04-2023,05:38,Homicide,Downtown,38.616126,-116.872293,Wednesday,Rainy,-3.6,27,Male,72,Female,Unsolved
88,11-09-2023,01:41,Burglary,Downtown,37.37503,-81.911519,Monday,Rainy,29.4,53,Female,54,Female,Unsolved
89,03-03-2023,05:05,Theft,Park,36.698999,-78.400077,Friday,Cloudy,5.2,22,Female,70,Female,Under Investigation
90,11-06-2022,23:19,Robbery,Suburb,36.541474,-77.655564,Saturday,Rainy,23.2,45,Male,80,Female,Arrested
91,10-02-2022,01:22,Drug Offense,Highway,36.231844,-112.365919,Thursday,Cloudy,9,52,Female,45,Male,Unsolved
92,04-08-2023,05:31,Drug Offense,Park,34.39492,-117.322183,Friday,Foggy,8.3,31,Male,70,Male,Under Investigation
93,23-06-2022,18:10,Assault,Park,36.935192,-79.7667,Thursday,Snowy,16.1,20,Female,64,Male,Unsolved
94,16-03-2022,08:23,Theft,Highway,35.485968,-85.33682,Wednesday,Snowy,22.4,35,Female,46,Male,Under Investigation
95,27-12-2022,14:45,Homicide,Residential Area,37.8726,-82.656985,Tuesday,Cloudy,-1.6,37,Female,54,Female,Arrested
96,10-08-2022,02:40,Fraud,Mall,35.592253,-110.230946,Wednesday,Rainy,21,22,Female,32,Female,Unsolved
97,10-12-2022,12:15,Drug Offense,Downtown,34.555839,-80.718943,Saturday,Foggy,26.5,34,Female,18,Female,Unsolved
98,26-11-2022,23:40,Fraud,Downtown,35.120403,-86.739323,Saturday,Foggy,34.4,41,Male,77,Male,Unsolved
99,11-07-2022,16:21,Burglary,Industrial Zone,34.332821,-103.761422,Monday,Cloudy,5.5,53,Female,20,Female,Unsolved
100,16-09-2023,13:13,Theft,Residential Area,35.378162,-112.609772,Saturday,Foggy,-3.5,23,Female,69,Female,Unsolved
101,09-09-2022,07:26,Burglary,Mall,38.968637,-116.501936,Friday,Snowy,26.8,24,Female,16,Female,Unsolved
102,10-02-2022,03:48,Burglary,Park,35.73727,-92.072545,Thursday,Snowy,14.9,47,Male,48,Female,Under Investigation
103,05-04-2023,00:00,Vandalism,Mall,37.032268,-107.276644,Wednesday,Foggy,-3,43,Female,14,Female,Unsolved
104,23-07-2022,10:32,Assault,Suburb,34.996168,-95.219754,Saturday,Cloudy,7.3,59,Male,17,Female,Unsolved
105,13-11-2023,06:29,Homicide,Park,35.710818,-86.557131,Monday,Clear,18.2,24,Male,49,Male,Unsolved
106,17-04-2022,08:06,Homicide,Highway,34.016083,-93.49043,Sunday,Clear,12.4,22,Female,33,Female,Unsolved
107,04-06-2023,20:19,Drug Offense,Highway,39.231087,-115.833039,Sunday,Snowy,-2.5,59,Female,51,Male,Arrested
108,13-10-2022,06:14,Fraud,Suburb,39.808587,-78.71639,Thursday,Rainy,19,43,Male,68,Female,Under Investigation
109,19-10-2023,20:10,Fraud,Residential Area,35.163159,-81.703779,Thursday,Rainy,1.2,21,Male,16,Female,Unsolved
110,02-10-2022,04:05,Theft,Park,38.940414,-85.87347,Sunday,Cloudy,29.2,52,Female,33,Male,Under Investigation
111,08-02-2023,01:08,Assault,Highway,38.049423,-106.14024,Wednesday,Rainy,24.5,51,Male,33,Female,Unsolved
112,10-06-2023,10:27,Homicide,Highway,34.394567,-105.402364,Saturday,Cloudy,-0.5,39,Male,69,Female,Unsolved
113,16-09-2022,17:59,Assault,Residential Area,37.643794,-100.813448,Friday,Clear,13.7,52,Female,74,Female,Under Investigation
114,26-02-2022,12:33,Drug Offense,Residential Area,38.804647,-87.626675,Saturday,Foggy,-0.8,21,Male,44,Female,Unsolved
115,27-01-2022,19:59,Drug Offense,Highway,34.80165,-87.546933,Thursday,Rainy,2.3,17,Male,28,Female,Unsolved
116,23-06-2023,15:27,Assault,Residential Area,35.329988,-81.159407,Friday,Cloudy,19.6,54,Female,36,Male,Under Investigation
117,31-07-2022,07:05,Fraud,Highway,36.792586,-99.940766,Sunday,Snowy,25.6,27,Male,44,Male,Unsolved
118,11-09-2022,08:41,Homicide,Residential Area,37.029638,-100.390397,Sunday,Foggy,10.3,22,Male,43,Male,Under Investigation
119,03-03-2022,10:51,Robbery,Mall,39.074805,-100.060907,Thursday,Clear,1.4,48,Female,69,Male,Unsolved
120,15-05-2023,06:46,Vandalism,Park,36.684142,-109.442869,Monday,Cloudy,8.2,32,Male,27,Female,Under Investigation
121,27-07-2023,14:42,Vandalism,Highway,35.371392,-95.876117,Thursday,Clear,8.5,40,Female,34,Male,Unsolved
122,19-08-2022,13:24,Homicide,Industrial Zone,35.245275,-98.770656,Friday,Rainy,33.9,22,Male,13,Female,Unsolved
123,18-06-2022,02:55,Fraud,Residential Area,38.769662,-117.203483,Saturday,Clear,14.3,47,Male,33,Male,Arrested
124,28-01-2023,12:10,Assault,Highway,35.295072,-82.086759,Saturday,Snowy,14.1,32,Female,72,Male,Arrested
125,20-10-2023,22:34,Vandalism,Industrial Zone,36.467648,-114.796952,Friday,Rainy,27.9,37,Female,22,Female,Arrested
126,21-04-2022,15:53,Homicide,Park,34.966345,-78.84259,Thursday,Snowy,18.9,31,Male,75,Female,Unsolved
127,03-03-2022,08:39,Robbery,Residential Area,36.106651,-76.285664,Thursday,Foggy,8,25,Male,34,Female,Under Investigation
128,21-09-2022,02:25,Burglary,Downtown,34.197072,-80.551359,Wednesday,Cloudy,8.7,26,Female,62,Female,Arrested
129,01-03-2022,18:03,Fraud,Industrial Zone,36.537182,-82.321045,Tuesday,Cloudy,27.3,36,Male,11,Female,Unsolved
130,27-05-2022,02:20,Drug Offense,Suburb,35.283112,-84.342509,Friday,Snowy,21.7,52,Female,42,Female,Unsolved
131,10-08-2023,01:27,Assault,Suburb,34.825996,-79.278769,Thursday,Clear,12.5,34,Male,46,Male,Unsolved
132,09-07-2023,17:24,Homicide,Highway,36.629457,-84.582094,Sunday,Rainy,4,39,Female,38,Male,Under Investigation
133,26-03-2022,21:20,Theft,Highway,36.253103,-89.266953,Saturday,Clear,3.5,45,Female,37,Female,Arrested
134,28-06-2022,15:12,Vandalism,Industrial Zone,38.061091,-106.900959,Tuesday,Clear,19.6,47,Female,26,Male,Arrested
135,18-10-2023,10:27,Theft,Industrial Zone,39.472387,-106.599824,Wednesday,Snowy,-1,37,Female,50,Female,Arrested
136,04-01-2023,18:20,Fraud,Mall,39.308306,-97.69518,Wednesday,Foggy,18.4,50,Female,46,Male,Under Investigation
137,04-11-2022,15:09,Assault,Residential Area,34.160318,-102.673918,Friday,Cloudy,-2.2,39,Male,42,Female,Under Investigation
138,29-10-2022,09:18,Burglary,Industrial Zone,36.897626,-88.249155,Saturday,Rainy,7.4,51,Female,51,Male,Unsolved
139,18-02-2023,06:21,Vandalism,Suburb,37.886188,-113.846719,Saturday,Clear,10,56,Female,49,Male,Arrested
140,18-03-2022,18:43,Homicide,Highway,35.212421,-87.477684,Friday,Foggy,32.8,23,Male,57,Female,Under Investigation
141,09-05-2022,02:26,Homicide,Highway,37.821154,-109.688155,Monday,Rainy,31.4,36,Male,15,Male,Unsolved
142,28-12-2022,17:15,Robbery,Industrial Zone,39.475358,-115.904408,Wednesday,Foggy,22.4,38,Female,69,Male,Unsolved
143,23-08-2023,03:00,Assault,Downtown,39.15285,-83.506919,Wednesday,Clear,-4.6,28,Female,65,Female,Arrested
144,23-04-2023,19:37,Burglary,Highway,38.594353,-84.241961,Sunday,Snowy,30.2,46,Male,12,Female,Under Investigation
145,30-12-2023,06:03,Homicide,Park,35.850813,-115.057993,Saturday,Foggy,-4.8,43,Male,51,Female,Unsolved
146,16-10-2022,15:44,Fraud,Downtown,39.033006,-102.211066,Sunday,Clear,14.8,46,Male,12,Female,Under Investigation
147,21-12-2022,10:45,Homicide,Suburb,35.668391,-105.779109,Wednesday,Snowy,-4.4,58,Male,62,Male,Under Investigation
148,23-11-2022,18:43,Theft,Park,36.905031,-111.933004,Wednesday,Rainy,22.2,53,Female,29,Female,Arrested
149,06-05-2023,13:20,Vandalism,Downtown,36.88224,-92.569692,Saturday,Snowy,33.5,21,Female,34,Male,Arrested
150,15-07-2023,11:55,Robbery,Park,38.559534,-89.891834,Saturday,Clear,33.2,50,Male,12,Male,Arrested
151,22-03-2023,19:44,Drug Offense,Downtown,36.029104,-91.796072,Wednesday,Snowy,30.5,59,Female,27,Male,Unsolved
152,07-11-2022,11:32,Drug Offense,Highway,37.510603,-96.171745,Monday,Foggy,23.3,39,Male,40,Female,Unsolved
153,15-12-2022,06:03,Assault,Residential Area,34.990351,-93.3955,Thursday,Foggy,28.9,48,Female,60,Male,Arrested
154,22-01-2023,18:17,Robbery,Residential Area,35.162134,-99.937201,Sunday,Cloudy,4,47,Female,11,Female,Under Investigation
155,25-01-2022,00:46,Vandalism,Park,34.954219,-90.787103,Tuesday,Foggy,4,16,Female,61,Male,Under Investigation
156,08-07-2022,01:44,Theft,Suburb,37.048521,-116.473571,Friday,Cloudy,27.4,33,Female,18,Female,Under Investigation
157,05-01-2023,00:16,Vandalism,Industrial Zone,39.243476,-96.660162,Thursday,Clear,30.9,54,Female,79,Female,Arrested
158,15-12-2022,11:47,Burglary,Suburb,37.618122,-99.567514,Thursday,Snowy,19.7,37,Male,62,Female,Unsolved
159,24-12-2022,13:38,Burglary,Residential Area,35.820524,-102.544419,Saturday,Rainy,14.7,30,Male,71,Male,Unsolved
160,15-05-2023,11:36,Fraud,Highway,38.535098,-96.931373,Monday,Snowy,3.7,16,Female,54,Female,Arrested
161,01-01-2023,04:34,Drug Offense,Industrial Zone,39.299198,-117.303939,Sunday,Rainy,32.5,28,Female,71,Female,Unsolved
162,08-11-2022,04:43,Burglary,Highway,36.391322,-87.705163,Tuesday,Cloudy,32.4,42,Male,25,Male,Under Investigation
163,15-01-2023,17:40,Theft,Industrial Zone,37.343205,-114.47445,Sunday,Clear,17.1,32,Female,49,Male,Arrested
164,26-09-2022,01:40,Drug Offense,Park,35.956343,-112.681418,Monday,Clear,-2.9,18,Male,10,Female,Under Investigation
165,02-09-2022,18:09,Homicide,Park,34.52628,-79.108806,Friday,Clear,23.7,57,Male,14,Female,Unsolved
166,24-11-2022,15:07,Assault,Residential Area,38.28922,-116.189952,Thursday,Clear,24.4,28,Male,31,Female,Under Investigation
167,29-08-2022,20:03,Fraud,Suburb,39.77649,-77.680087,Monday,Cloudy,20.1,55,Male,34,Male,Under Investigation
168,10-09-2023,16:53,Assault,Residential Area,34.027962,-115.60171,Sunday,Clear,15.7,44,Female,39,Male,Unsolved
169,24-02-2023,03:14,Assault,Highway,38.285644,-111.93053,Friday,Foggy,5.2,28,Female,17,Male,Unsolved
170,26-04-2022,01:07,Homicide,Residential Area,36.040492,-103.701343,Tuesday,Cloudy,29.6,21,Male,70,Male,Under Investigation
171,07-02-2022,00:07,Burglary,Residential Area,38.969797,-90.358516,Monday,Clear,-4.9,45,Male,38,Female,Arrested
172,20-03-2022,08:24,Burglary,Residential Area,36.473958,-75.452812,Sunday,Rainy,15,60,Male,72,Male,Unsolved
173,06-08-2022,18:46,Vandalism,Park,38.472503,-105.16908,Saturday,Foggy,32.9,59,Male,47,Male,Under Investigation
174,25-09-2022,11:53,Assault,Downtown,37.574491,-111.88715,Sunday,Rainy,18,50,Female,15,Male,Unsolved
175,03-11-2023,12:43,Fraud,Residential Area,37.458375,-85.049686,Friday,Clear,9.2,42,Female,21,Male,Unsolved
176,13-02-2022,06:25,Burglary,Downtown,34.713045,-91.914406,Sunday,Rainy,15.1,29,Male,42,Male,Arrested
177,04-09-2023,10:04,Fraud,Mall,39.753553,-78.810302,Monday,Cloudy,5.3,56,Male,67,Female,Unsolved
178,09-06-2022,05:35,Vandalism,Park,39.028151,-112.854005,Thursday,Foggy,30.8,25,Male,72,Male,Unsolved
179,05-08-2022,20:23,Homicide,Park,34.242706,-91.839586,Friday,Snowy,13,58,Female,40,Male,Arrested
180,20-12-2022,08:42,Theft,Park,35.117786,-110.416581,Tuesday,Cloudy,8.7,33,Female,24,Female,Under Investigation
181,27-12-2023,10:14,Robbery,Residential Area,35.827906,-105.040195,Wednesday,Snowy,-4.4,29,Male,73,Male,Arrested
182,13-01-2023,14:17,Burglary,Downtown,35.076676,-105.919624,Friday,Cloudy,22.3,53,Male,40,Female,Unsolved
183,15-09-2022,00:16,Burglary,Mall,37.556811,-91.312712,Thursday,Foggy,9.8,44,Female,72,Male,Under Investigation
184,04-03-2022,05:52,Robbery,Residential Area,36.352831,-106.237095,Friday,Snowy,32.9,25,Female,70,Female,Under Investigation
185,06-05-2022,20:15,Assault,Downtown,38.136542,-112.156045,Friday,Cloudy,31.5,42,Female,76,Male,Under Investigation
186,08-09-2023,23:35,Vandalism,Suburb,38.410237,-95.491285,Friday,Rainy,27.3,20,Female,69,Female,Under Investigation
187,20-06-2022,21:50,Assault,Highway,36.134692,-108.350658,Monday,Foggy,12.5,17,Female,80,Male,Arrested
188,16-07-2022,23:00,Assault,Highway,39.274488,-87.753815,Saturday,Cloudy,24.2,18,Male,26,Female,Unsolved
189,01-01-2022,09:19,Homicide,Downtown,36.59201,-80.56951,Saturday,Rainy,10.2,33,Female,27,Male,Under Investigation
190,05-04-2023,08:04,Fraud,Park,35.909921,-110.702766,Wednesday,Snowy,3.2,32,Female,46,Male,Arrested
191,14-05-2023,01:35,Assault,Residential Area,38.04978,-75.468676,Sunday,Snowy,1.3,28,Female,19,Male,Unsolved
192,20-02-2023,13:57,Vandalism,Highway,36.052707,-79.089526,Monday,Clear,14,35,Female,50,Male,Arrested
193,02-06-2022,07:28,Assault,Downtown,37.542916,-108.076912,Thursday,Cloudy,8.1,19,Male,43,Male,Unsolved
194,22-06-2022,09:37,Robbery,Industrial Zone,35.661205,-115.140324,Wednesday,Foggy,-0.1,36,Female,55,Male,Arrested
195,24-10-2022,22:26,Robbery,Mall,35.982559,-104.840296,Monday,Snowy,10.8,20,Male,51,Female,Arrested
196,28-10-2022,22:55,Drug Offense,Park,36.975066,-114.78182,Friday,Clear,-0.1,31,Male,80,Male,Under Investigation
197,20-11-2023,07:22,Burglary,Highway,37.452647,-79.266685,Monday,Rainy,0.7,33,Male,22,Female,Unsolved
198,06-09-2023,04:47,Robbery,Highway,39.681036,-81.414004,Wednesday,Snowy,29.9,17,Male,36,Male,Unsolved
199,20-08-2022,00:12,Homicide,Mall,38.162133,-113.09265,Saturday,Cloudy,20.9,20,Female,77,Female,Arrested
200,03-01-2022,14:21,Theft,Industrial Zone,36.885299,-85.522276,Monday,Clear,24.5,16,Female,19,Female,Unsolved
201,05-07-2022,08:36,Homicide,Park,35.23555,-109.131255,Tuesday,Foggy,13,55,Male,76,Male,Arrested
202,02-08-2022,08:59,Theft,Highway,35.658114,-113.493126,Tuesday,Clear,29.1,50,Female,77,Male,Unsolved
203,26-01-2023,11:21,Burglary,Industrial Zone,38.877942,-80.051736,Thursday,Rainy,29.4,33,Male,78,Male,Unsolved
204,14-01-2023,07:23,Theft,Industrial Zone,36.462884,-80.924176,Saturday,Snowy,-0.3,39,Male,52,Female,Unsolved
205,16-11-2023,12:19,Vandalism,Park,37.100564,-102.95704,Thursday,Rainy,33.6,43,Female,18,Male,Unsolved
206,19-09-2022,15:41,Drug Offense,Highway,35.734078,-92.032641,Monday,Snowy,25.7,45,Female,59,Female,Under Investigation
207,02-06-2023,12:52,Robbery,Mall,38.131181,-108.294579,Friday,Foggy,22.8,17,Female,69,Female,Arrested
208,25-05-2022,17:09,Robbery,Mall,34.711879,-90.675759,Wednesday,Cloudy,8.7,46,Male,47,Male,Under Investigation
209,19-08-2023,13:30,Burglary,Mall,38.479252,-81.189543,Saturday,Rainy,6.1,44,Female,11,Male,Arrested
210,15-04-2023,15:21,Robbery,Suburb,35.648145,-76.278552,Saturday,Rainy,16.8,55,Female,52,Male,Unsolved
211,08-03-2022,01:27,Fraud,Suburb,37.699382,-107.983213,Tuesday,Foggy,15.6,51,Male,68,Male,Unsolved
212,11-05-2023,15:00,Theft,Residential Area,39.779412,-92.660949,Thursday,Snowy,-1,37,Male,73,Male,Arrested
213,29-05-2023,12:12,Theft,Industrial Zone,36.113127,-77.40437,Monday,Clear,27,31,Male,78,Male,Arrested
214,11-09-2023,17:36,Burglary,Mall,37.184357,-90.635684,Monday,Clear,14.9,59,Female,74,Female,Unsolved
215,06-10-2022,07:34,Assault,Industrial Zone,38.296198,-107.33032,Thursday,Clear,18.5,27,Male,28,Female,Unsolved
216,19-06-2023,09:09,Vandalism,Downtown,39.809248,-80.161966,Monday,Foggy,-3.6,47,Female,24,Female,Arrested
